hospital_clean,medical_condition,total_admissions,average_billing
ellis ltd,Cancer,2,48805.45435251074
ellis ltd,Hypertension,3,25242.93703871817
"ellis mcdaniel and stark,",Asthma,1,18662.22825449232
"ellis moreno and stevens,",Asthma,1,48942.95380204422
"ellis olson anderson, and",Hypertension,2,26962.773960957795
"ellis payne roberson, and",Hypertension,1,12893.383117003435
ellis plc,Arthritis,3,24901.292151092086
ellis plc,Obesity,1,38623.44332386989
"ellis walton and thompson,",Hypertension,2,47141.147137186446
"ellis wilkerson perez, and",Arthritis,1,36346.15222380264
"ellis williams and li,",Obesity,2,10384.511911023072
"ellis, and ellis andrews",Diabetes,1,35287.1714019845
"ellis, and smith black",Diabetes,1,18628.701838647696
"ellis, and villa thomas",Hypertension,1,27868.186232210108
"ellis, garcia williams and",Diabetes,1,7233.18273521202
"ellis, hopkins davis and",Obesity,1,44446.880718988206
"ellis, hutchinson and hawkins",Cancer,1,40679.589879455656
"ellis, martin ray and",Hypertension,1,43943.67997433292
"ellis, thomas and lewis",Asthma,1,46900.9461309777
"ellis, todd and simpson",Hypertension,1,23680.086068605506
"ellis, williams and white",Obesity,1,34435.27199587354
ellis-andrews,Obesity,1,26809.71631181961
ellis-ballard,Asthma,1,7860.382052359478
ellis-beck,Cancer,1,15572.903187094518
ellis-bond,Cancer,1,6781.697616012185
ellis-carroll,Arthritis,1,40565.74169695137
ellis-collins,Arthritis,2,29576.0850299065
ellis-davis,Cancer,1,3932.901969352477
ellis-eaton,Arthritis,1,14537.469413977591
ellis-farmer,Cancer,1,15215.515301216605
ellis-flores,Hypertension,1,25503.51106996956
ellis-francis,Cancer,1,9465.39980310352
ellis-harris,Asthma,1,48705.70371260246
ellis-higgins,Diabetes,1,12358.19228543068
ellis-horn,Asthma,1,33427.7073831272
ellis-kim,Diabetes,1,27300.1866707793
ellis-king,Asthma,2,17821.596690726932
ellis-knight,Arthritis,1,29442.72250951975
ellis-little,Arthritis,1,51037.4802609312
ellis-lopez,Obesity,1,15384.675294478197
ellis-mitchell,Asthma,1,29545.359608296145
ellis-noble,Asthma,1,30873.93132699114
ellis-perkins,Obesity,1,26815.50928436727
ellis-roberson,Cancer,1,42853.98906218331
ellis-ruiz,Obesity,1,23201.326392727227
ellis-santiago,Asthma,1,10704.36910765045
ellis-thomas,Cancer,2,46873.65534974282
ellis-white,Cancer,1,44614.58670103391
ellis-wilkinson,Asthma,1,10605.905618623834
ellis-williams,Asthma,1,4154.719563097937
ellis-wright,Hypertension,1,11287.824402208576
"ellison and sharp mcguire,",Cancer,1,14705.56223253821
ellison and sons,Cancer,2,38414.736989189914
ellison and sons,Hypertension,1,40671.87329271936
ellison group,Diabetes,1,4225.364360517154
"ellison stanley mack, and",Arthritis,1,11786.939033797626
"ellison, and green meza",Diabetes,2,9672.889637662667
"ellison, and williams smith",Obesity,1,43039.33330463843
ellison-hayden,Arthritis,2,13396.90016939784
ellison-miller,Hypertension,2,40939.78520196184
ellison-novak,Hypertension,1,36813.895621361946
ellison-rodriguez,Asthma,1,34796.14702632099
ellison-scott,Cancer,1,16365.065417144257
ellison-wagner,Arthritis,1,25007.84827592936
ellison-watson,Diabetes,1,49212.96308262874
english group,Cancer,1,42910.673897380286
english llc,Cancer,1,20043.11601305288
english ltd,Asthma,2,38582.511052882495
"english perez and dougherty,",Cancer,1,22620.42105086628
english sons and,Cancer,1,48286.445247482494
"english, allen adams and",Cancer,1,8486.441824422669
"english, and cherry meyer",Hypertension,1,515.107195094517
english-bruce,Arthritis,1,48550.257849529386
english-hale,Hypertension,1,30851.002103143288
english-stout,Asthma,1,14917.64494770211
english-thomas,Obesity,1,19868.91681809632
english-washington,Hypertension,1,33041.151892327165
erickson and sons,Hypertension,1,36078.38916421822
"erickson brewer, curtis and",Hypertension,1,22694.013061894144
"erickson fletcher and maynard,",Obesity,1,19811.88285019472
erickson inc,Diabetes,1,11181.911324633593
erickson inc,Hypertension,1,6244.839822600108
erickson ltd,Arthritis,2,10028.551428494204
erickson plc,Hypertension,2,43229.58626355632
erickson sons and,Diabetes,1,2725.2668647296337
"erickson williams, caldwell and",Obesity,1,37237.79855053528
"erickson wood, murphy and",Arthritis,1,3514.2123931261026
"erickson young and jackson,",Hypertension,1,30204.70838951148
"erickson, and evans bartlett",Asthma,1,1440.3845534293996
"erickson, obrien ford and",Diabetes,1,19082.421739042213
erickson-alexander,Diabetes,1,39237.675313830005
erickson-boyd,Hypertension,1,7516.784213120317
erickson-campbell,Asthma,2,38543.52088890404
erickson-flowers,Cancer,1,32524.469686569497
erickson-foster,Asthma,1,3447.3404160675946
erickson-johnson,Asthma,1,45752.2051431535
erickson-malone,Obesity,1,23167.92709312935
erickson-martinez,Hypertension,1,8842.370591331382
erickson-rodriguez,Diabetes,1,37330.16091865425
erickson-rodriguez,Obesity,1,45827.40663164125
erickson-thomas,Obesity,1,9997.422692523362
erickson-walton,Cancer,1,30477.65893220333
"escobar and anderson, martin",Obesity,1,38827.18226978839
"escobar barajas and murphy,",Obesity,1,14510.60210425602
escobar group,Arthritis,1,2515.878993019369
"escobar mclaughlin, zimmerman and",Obesity,2,19399.637125077163
"escobar parks and brown,",Hypertension,1,27115.005476466256
escobar plc,Asthma,1,14118.004609035284
escobar plc,Obesity,1,7873.124415473384
"escobar, and landry robinson",Asthma,1,25311.6207106832
"escobar, and ward lawson",Obesity,1,20763.57831328376
escobar-ballard,Asthma,1,8586.046638707623
escobar-banks,Cancer,1,4810.905085679176
escobar-briggs,Arthritis,1,29345.87841258185
escobar-henry,Arthritis,1,1759.657566270384
escobar-mckay,Asthma,1,17697.946548326036
escobar-peterson,Hypertension,1,4373.179501854322
escobar-tran,Obesity,2,42756.02624961054
escobar-walton,Cancer,1,20687.966162214376
escobar-ward,Hypertension,1,13160.593816007704
esparza ltd,Asthma,1,2155.8349907652114
"esparza mitchell, and gamble",Cancer,1,7671.832015963902
"esparza smith, glass and",Diabetes,2,11972.362782278886
esparza-alvarado,Cancer,1,39502.09491928721
esparza-bennett,Arthritis,1,33670.60073829204
esparza-carpenter,Hypertension,1,5978.374504094498
esparza-ferrell,Arthritis,1,3973.796132177611
esparza-holt,Cancer,1,14106.039841406526
esparza-martinez,Obesity,1,16097.76216434909
esparza-ruiz,Diabetes,1,29021.195663100178
esparza-smith,Obesity,1,40183.5608780339
esparza-stewart,Arthritis,1,43262.84287441666
esparza-vasquez,Asthma,1,43749.11361547961
"espinoza and gonzales ward,",Diabetes,1,23992.369173450417
"espinoza and valentine downs,",Obesity,1,36404.46403529352
espinoza inc,Diabetes,1,40789.99058466216
"espinoza larson cross, and",Asthma,1,8754.061798228766
espinoza llc,Cancer,1,6830.444107454626
espinoza ltd,Cancer,1,17225.6613139243
espinoza ltd,Obesity,1,44902.707297651184
"espinoza zavala and mcdaniel,",Cancer,1,13241.43378567534
"espinoza, and johnson mays",Diabetes,2,44512.33022497947
"espinoza, perez and pope",Diabetes,1,27274.97293592356
"espinoza, wyatt and oneill",Obesity,1,45423.44576041915
espinoza-collins,Diabetes,1,31531.367831201947
espinoza-flores,Arthritis,1,13866.199075444682
espinoza-flores,Obesity,1,18806.024420318383
espinoza-gonzalez,Arthritis,1,25845.500666543285
espinoza-jones,Diabetes,1,41830.40783242234
espinoza-myers,Cancer,1,2938.7203475499487
espinoza-smith,Cancer,1,38014.03327622506
espinoza-stone,Hypertension,1,9380.325967528432
espinoza-torres,Cancer,2,45114.25046036715
"estes and garza, carroll",Obesity,1,-36.21727034931428
"estes fox, bowman and",Cancer,2,12185.0885730669
estes group,Hypertension,1,7498.124681771354
estes inc,Obesity,1,28155.182856103514
"estes nguyen, green and",Arthritis,1,6446.806188476205
"estes olsen medina, and",Obesity,1,27277.107023995053
"estes, logan and smith",Asthma,1,7526.90594717944
estes-dominguez,Cancer,2,10925.929149926977
estes-guerra,Obesity,1,46406.16131015687
estes-mata,Diabetes,1,46568.264323675714
estes-morgan,Obesity,1,28933.5871382779
estes-palmer,Cancer,1,42017.3349783399
estes-phillips,Cancer,1,30277.82713796993
estes-thomas,Hypertension,1,21755.036797015287
"estrada and holt taylor,",Hypertension,1,9175.1481405209
"estrada and lee roberts,",Arthritis,2,16339.668623593505
"estrada and white webster,",Hypertension,1,29935.15677763147
"estrada burke, and bernard",Obesity,1,43935.50614146159
estrada llc,Arthritis,1,33492.084830398
estrada llc,Hypertension,1,1376.279729974557
"estrada mueller, jimenez and",Hypertension,1,29617.00903502124
estrada plc,Cancer,2,15543.652802588023
estrada plc,Diabetes,1,8487.747138945871
"estrada ramos jones, and",Diabetes,1,34419.86934534658
"estrada russell, and bright",Cancer,2,3978.376225448378
estrada sons and,Hypertension,1,9801.29849127043
"estrada, macdonald valdez and",Asthma,1,36231.74006761846
"estrada, peterson and johnson",Hypertension,1,48135.86808438323
estrada-armstrong,Obesity,1,35624.70309435928
estrada-bradley,Cancer,1,5949.011924296158
estrada-butler,Diabetes,2,21945.871833756875
estrada-butler,Obesity,1,10347.425904010746
estrada-cain,Arthritis,1,41085.23607786276
estrada-campbell,Hypertension,1,36233.66769300916
estrada-delgado,Obesity,1,40087.33574294186
estrada-griffin,Asthma,1,23550.756687552624
estrada-jacobs,Obesity,1,18755.40498948327
estrada-johnson,Arthritis,1,49326.84151973968
estrada-lin,Arthritis,1,32027.25379758141
estrada-marshall,Cancer,1,40174.55957985009
estrada-martin,Cancer,1,6482.05395270334
estrada-navarro,Cancer,1,41514.76084397931
estrada-ochoa,Asthma,1,16738.822201859326
estrada-ramsey,Hypertension,1,34925.23337275914
estrada-salazar,Cancer,1,11243.47847458756
estrada-schneider,Cancer,1,5721.966199125129
estrada-simmons,Obesity,1,18018.443264511345
estrada-thompson,Arthritis,1,38805.81383398812
"evans and brown wyatt,",Hypertension,2,44749.92420840093
"evans and byrd, smith",Obesity,1,24293.633025826664
"evans and cox mata,",Obesity,1,11899.849075745607
"evans and hall schneider,",Arthritis,1,24948.47782402692
"evans and jackson simmons,",Arthritis,1,45111.03090985507
"evans and middleton, hill",Asthma,1,37122.9195032896
"evans and murray, washington",Diabetes,1,19187.941448566427
"evans and pearson, holt",Asthma,2,38444.895159275526
"evans and ryan phillips,",Cancer,1,32617.349504752063
"evans and smith, davis",Asthma,1,37248.71068032376
evans and sons,Asthma,2,26350.018196306377
"evans barajas jacobson, and",Asthma,2,32319.315663285764
"evans carroll, and aguilar",Asthma,1,42121.18879336272
"evans dennis and rodriguez,",Asthma,1,6397.909958892379
"evans griffin, and taylor",Obesity,1,33216.05817936799
evans group,Arthritis,2,37679.78982393233
evans group,Asthma,1,36783.37244046847
evans group,Cancer,1,47814.57169188693
evans group,Diabetes,1,26709.818635074487
evans group,Hypertension,1,9509.612929855331
"evans hodges and terry,",Arthritis,2,45879.43473893011
evans inc,Asthma,1,17299.95687866591
evans inc,Diabetes,1,15689.567860525334
evans inc,Hypertension,3,13075.065119389319
evans inc,Obesity,1,16492.901562817784
"evans james griffin, and",Cancer,1,17158.662287219697
"evans jones hughes, and",Obesity,1,39224.98768633294
evans llc,Obesity,1,28945.73273707325
evans ltd,Arthritis,2,37882.88365749686
evans ltd,Asthma,2,28638.991207637617
evans ltd,Cancer,1,10709.690388900191
evans ltd,Hypertension,1,26215.645298323263
"evans mcguire, and roman",Obesity,1,27586.060953186017
"evans medina, dougherty and",Cancer,1,6919.568776397534
"evans mejia middleton, and",Cancer,2,16363.453674756194
"evans mendez mitchell, and",Obesity,1,2730.442446969365
"evans michael, and reyes",Obesity,1,34749.101639389824
"evans miller, and kemp",Arthritis,1,43863.59782888168
evans plc,Arthritis,2,34008.898276956956
evans plc,Cancer,2,24692.630124047646
"evans ramos, and coffey",Cancer,1,2932.5642660719523
"evans rogers, sutton and",Arthritis,1,46334.36948501541
evans sons and,Cancer,1,44984.478273852685
"evans stewart green, and",Obesity,1,22342.26826632089
"evans washington, gutierrez and",Asthma,1,29402.045953357567
"evans young hall, and",Arthritis,1,33575.41710149311
"evans young, and watson",Obesity,1,16589.57916719698
"evans, and bernard erickson",Cancer,1,3408.1136345557284
"evans, and hughes miller",Obesity,1,47476.1390144881
"evans, and nelson cooper",Hypertension,1,2559.8648781405377
"evans, and rodriguez matthews",Cancer,1,31565.027246804315
"evans, and russell davis",Hypertension,1,40660.23912672552
"evans, and scott hunter",Diabetes,1,17282.892301589844
"evans, and smith tran",Obesity,1,23826.5480423213
"evans, espinoza lawrence and",Obesity,1,16071.645311634436
"evans, frazier gilbert and",Hypertension,1,34057.19858426475
"evans, garcia trujillo and",Obesity,1,41753.05066473644
"evans, jenkins and foster",Arthritis,1,1721.490633683083
"evans, kelly and davis",Asthma,1,29001.943481013383
"evans, leblanc fox and",Arthritis,1,11754.32950479446
"evans, meyer graham and",Hypertension,1,21229.17425252128
"evans, patel payne and",Diabetes,1,28392.391698717864
"evans, robertson and webb",Diabetes,1,8666.221524694549
"evans, smith and mitchell",Obesity,1,3074.2666504377653
"evans, smith green and",Diabetes,2,37430.77264108058
evans-anderson,Diabetes,1,35917.04279510291
evans-barber,Cancer,1,5502.641327851168
evans-benson,Hypertension,1,14645.357698380863
evans-bowers,Arthritis,1,33512.19341090268
evans-brewer,Cancer,1,9933.753678399542
evans-brewer,Diabetes,1,22823.774178478347
evans-brown,Cancer,1,23270.437791483422
evans-clayton,Asthma,1,43815.100662337536
evans-contreras,Obesity,1,15417.68278938105
evans-cox,Diabetes,1,4964.183845860785
evans-daniels,Cancer,1,36824.87294641468
evans-davis,Asthma,1,26673.137841684384
evans-douglas,Obesity,1,45070.047511656936
evans-flores,Diabetes,1,22324.568633671308
evans-fuller,Diabetes,1,10921.451590823435
evans-garcia,Obesity,1,7161.293868884141
evans-gonzalez,Arthritis,1,16527.257872910606
evans-gray,Arthritis,1,13916.063861249932
evans-huffman,Cancer,1,33115.917108572634
evans-jackson,Diabetes,1,37594.929000560034
evans-johnson,Cancer,1,37684.69253458073
evans-johnson,Obesity,1,1553.6465979954096
evans-kelly,Asthma,1,20675.953308277392
evans-lowe,Cancer,1,17560.572254029288
evans-macdonald,Diabetes,1,14533.329533576643
evans-martinez,Hypertension,1,33360.494026810644
evans-mckinney,Obesity,1,35237.138146501864
evans-mitchell,Hypertension,1,14977.77927131635
evans-molina,Obesity,2,14033.545211093204
evans-moore,Cancer,1,26754.59247961812
evans-moses,Obesity,1,37424.907796319625
evans-olson,Cancer,1,35154.99229048496
evans-osborne,Obesity,1,7358.187539651843
evans-payne,Asthma,1,14210.940571230172
evans-payne,Hypertension,1,20682.196027471808
evans-pena,Hypertension,1,31341.600609456145
evans-poole,Asthma,1,5092.011844260834
evans-powell,Hypertension,1,33728.28526412783
evans-rangel,Hypertension,1,6290.842677748511
evans-roberson,Diabetes,1,11739.29944980729
evans-rodgers,Asthma,1,32296.043299636432
evans-rodriguez,Cancer,1,10266.993513582978
evans-russo,Arthritis,1,20454.14546893581
evans-salas,Arthritis,2,2329.560721564876
evans-shields,Hypertension,2,41759.0714452613
evans-smith,Hypertension,1,7444.538728872352
evans-stanley,Cancer,1,35462.85400968581
evans-thompson,Hypertension,1,1180.0542370335077
evans-torres,Cancer,1,2473.470747610548
evans-wells,Cancer,1,35603.157615280084
evans-williamson,Arthritis,2,1048.8859049836133
evans-wright,Hypertension,1,47946.86128279757
"everett acosta cole, and",Diabetes,1,30966.428466517125
"everett and harris jones,",Diabetes,1,27222.158880914634
"everett and morrison, mccormick",Arthritis,1,19713.490784681544
"everett davis, and hogan",Cancer,1,20475.807164845177
everett group,Diabetes,1,16196.04677919928
"everett hernandez and lopez,",Arthritis,1,33314.22017884482
"everett hoover brown, and",Cancer,1,9404.773343759229
everett inc,Arthritis,1,35132.902021464695
everett ltd,Cancer,1,11851.628244036569
everett plc,Cancer,1,20900.411327164948
"everett snyder williams, and",Hypertension,1,21459.47137003708
everett sons and,Cancer,2,38184.46784982676
"everett, and obrien reeves",Asthma,1,33133.426607498666
"everett, higgins and roach",Arthritis,1,19522.997101144072
"everett, perry and edwards",Arthritis,1,13723.438568820802
everett-ford,Cancer,1,37592.724322129536
everett-gross,Obesity,1,39111.51613130624
everett-king,Diabetes,1,47404.55999847706
everett-lawson,Arthritis,2,40350.18836003743
"ewing and stanley flynn,",Asthma,1,3404.725079521273
"ewing and stout, howard",Asthma,1,19826.930306063947
"ewing carr watson, and",Asthma,1,8896.020945606582
ewing inc,Obesity,1,1373.415402410096
ewing ltd,Hypertension,2,20670.00333486736
"ewing matthews pham, and",Cancer,1,10912.06306197722
ewing plc,Hypertension,1,3303.474953661023
ewing sons and,Arthritis,1,38329.35242439861
"ewing, rasmussen and buckley",Hypertension,1,46286.67384134525
"ewing, thomas sanford and",Cancer,1,11708.207987981295
ewing-baker,Cancer,1,48002.41047626347
ewing-brewer,Asthma,1,12174.443542497802
ewing-friedman,Arthritis,1,22175.36676548945
ewing-hartman,Arthritis,2,35330.66765161375
ewing-singleton,Diabetes,1,45904.65346150276
ewing-valdez,Asthma,2,44396.27985529097
"farley and myers, johnson",Arthritis,1,28221.93076777934
"farley and ortiz martinez,",Diabetes,1,48161.18162136744
farley and sons,Cancer,1,30656.10006040948
"farley payne and walker,",Diabetes,1,18557.21685447436
farley plc,Arthritis,1,5633.305177993241
"farley richardson, and anderson",Diabetes,1,11545.625656301903
"farley webster, and wright",Diabetes,1,32245.903192679136
"farley, and blanchard hancock",Diabetes,1,36459.811536166766
farley-ball,Diabetes,1,35931.29815712427
farley-brown,Obesity,1,44666.08464664307
farley-flores,Cancer,1,11042.829154366382
farley-payne,Diabetes,1,6847.841335353215
"farmer gonzalez nichols, and",Cancer,1,13544.428088673403
farmer inc,Cancer,1,15953.792931262476
"farmer khan, bennett and",Asthma,1,23333.34161897729
farmer llc,Asthma,1,6687.640978421131
farmer ltd,Cancer,1,314.0601422123645
"farmer solis, garcia and",Asthma,1,25679.94007049936
"farmer, and jackson price",Diabetes,1,23452.72930949815
"farmer, and russell cruz",Cancer,1,48975.78312421794
"farmer, and yang hancock",Cancer,1,2459.0104848061915
farmer-lloyd,Hypertension,1,11403.747912661544
farmer-martin,Obesity,1,31475.157836323146
farmer-phillips,Cancer,1,22224.86499139306
farmer-robinson,Cancer,1,19738.150055106267
farmer-rogers,Cancer,2,15646.432967141804
farmer-sanchez,Hypertension,1,24840.29617376363
farmer-santos,Diabetes,1,2876.032941351218
farmer-walker,Obesity,1,28063.571044748
farmer-waller,Arthritis,1,25430.196261233326
farmer-white,Obesity,1,46279.432901087406
farmer-wong,Obesity,1,13354.151976206336
"farrell and welch, joseph",Hypertension,1,43328.9135946581
"farrell cordova lester, and",Arthritis,1,35315.36003973774
farrell inc,Hypertension,1,17101.790047880862
"farrell kelly, reed and",Arthritis,1,20000.290687268625
"farrell lowery and richards,",Cancer,2,10421.506463840997
farrell ltd,Diabetes,2,14908.075944669794
"farrell lyons kent, and",Obesity,2,33618.89436625473
farrell sons and,Cancer,1,22363.71490264992
"farrell, grant tran and",Asthma,1,19613.22217808356
farrell-gregory,Asthma,1,28512.15501969356
farrell-harper,Arthritis,1,36277.35893938765
farrell-lyons,Cancer,1,22720.333703383392
farrell-nguyen,Obesity,1,18028.94424185276
farrell-orr,Arthritis,1,12545.069495923675
farrell-zamora,Cancer,2,29348.728169154605
faulkner group,Cancer,1,36361.37809846592
faulkner ltd,Cancer,1,37536.41291188725
"faulkner simpson jackson, and",Arthritis,1,43540.42157897326
faulkner-brooks,Arthritis,1,35680.818773026214
faulkner-fuller,Asthma,1,26448.690408434424
faulkner-jones,Asthma,2,29306.75227630038
faulkner-thomas,Obesity,1,8334.086545537479
"ferguson and benson, cobb",Asthma,2,35733.491150163
"ferguson and benton, moore",Obesity,1,19359.61462097256
"ferguson and mcintosh, roy",Asthma,1,33950.70000994123
"ferguson and white, clarke",Arthritis,1,13933.8281450624
"ferguson carter, ortiz and",Diabetes,1,31592.90693592864
ferguson group,Arthritis,1,8900.986961983355
ferguson group,Diabetes,1,35779.319665905765
ferguson group,Obesity,1,17837.443836639763
ferguson inc,Cancer,1,6895.379486411986
"ferguson lewis, foster and",Hypertension,1,41187.3393849057
"ferguson livingston cowan, and",Asthma,1,19640.85918165333
ferguson llc,Obesity,1,16143.8890185933
ferguson ltd,Hypertension,2,43883.36961151817
ferguson ltd,Obesity,1,6518.48153454899
"ferguson nichols, larson and",Cancer,1,46544.73828123656
ferguson plc,Diabetes,1,9142.52557006055
ferguson plc,Obesity,1,35028.825282405785
ferguson sons and,Asthma,1,36923.59392398491
"ferguson stafford, and spencer",Asthma,2,29597.338275678856
"ferguson turner and wiggins,",Asthma,1,44269.3647344684
"ferguson, and mays hall",Arthritis,1,30991.650720708847
"ferguson, bell and bruce",Diabetes,1,27618.99314346835
"ferguson, black and smith",Arthritis,1,22909.465480892537
"ferguson, maldonado johnson and",Asthma,1,13020.770898691257
"ferguson, perkins and martinez",Diabetes,1,18632.59725934096
ferguson-acevedo,Arthritis,1,25498.91647090301
ferguson-bennett,Hypertension,1,9384.742927000578
ferguson-carter,Asthma,2,39245.53781298368
ferguson-clark,Hypertension,1,42511.18361952181
ferguson-cole,Arthritis,1,29672.11493764791
ferguson-collins,Arthritis,1,20139.180412207377
ferguson-fisher,Arthritis,1,46979.006920924425
ferguson-garcia,Obesity,1,22418.407237516585
ferguson-george,Arthritis,1,21997.82473392037
ferguson-hamilton,Arthritis,1,21400.974066807536
ferguson-hicks,Obesity,2,35901.69116721717
ferguson-johnson,Arthritis,2,8042.65965921886
ferguson-johnson,Asthma,1,28484.820815516945
ferguson-jones,Diabetes,1,28596.854342873503
ferguson-lee,Hypertension,1,6069.059806659329
ferguson-little,Asthma,1,11787.151563422423
ferguson-liu,Obesity,2,46772.58119808634
ferguson-molina,Arthritis,1,31660.73635273024
ferguson-moore,Obesity,1,14844.802353095689
ferguson-morgan,Asthma,1,25982.20080136203
ferguson-obrien,Diabetes,2,2833.5852471443222
ferguson-ortega,Asthma,1,18470.717369730704
ferguson-singleton,Cancer,1,15561.38812768565
ferguson-smith,Diabetes,1,8595.76137688988
ferguson-taylor,Hypertension,1,46253.882551350376
ferguson-thompson,Asthma,1,36727.912983675335
ferguson-west,Hypertension,1,7991.894032136328
ferguson-white,Cancer,1,16911.4185768864
"fernandez aguilar and hamilton,",Asthma,1,47467.41428804079
"fernandez and atkinson, johnson",Asthma,1,46289.09270147859
"fernandez and phillips, singh",Hypertension,1,30590.54180634067
fernandez and sons,Obesity,1,30496.76648218964
"fernandez and thompson hernandez,",Cancer,1,1149.0889239081962
"fernandez christensen, and rivera",Asthma,1,29033.61425214664
fernandez group,Hypertension,1,22441.294231888314
"fernandez harris, and wilson",Asthma,1,25275.94422766361
"fernandez hart, and ward",Diabetes,1,28397.530085263617
"fernandez hunter and brooks,",Arthritis,1,49755.98275381081
fernandez inc,Hypertension,1,38508.71050995396
"fernandez lee and hanson,",Diabetes,1,22127.070126063147
fernandez llc,Cancer,1,14880.59812720014
fernandez llc,Hypertension,2,31246.071846628758
"fernandez long ware, and",Diabetes,1,31974.03669524256
"fernandez lopez gibson, and",Hypertension,1,22079.215767969104
fernandez ltd,Cancer,1,28238.25605878525
fernandez ltd,Hypertension,2,26264.823576461305
"fernandez perry, parker and",Diabetes,2,9355.332111732412
fernandez plc,Arthritis,1,8200.734215162762
fernandez plc,Asthma,1,21408.560706538807
"fernandez sanders, and elliott",Diabetes,1,9461.582304333317
"fernandez woodard and phillips,",Cancer,1,9086.911379818395
"fernandez, phillips keller and",Obesity,1,13208.331178547392
"fernandez, robertson maxwell and",Arthritis,1,37484.952745325805
fernandez-adkins,Hypertension,1,33867.030381979
fernandez-burke,Arthritis,1,18929.65455843228
fernandez-christian,Obesity,2,48495.96296274642
fernandez-cortez,Hypertension,1,9932.993601945029
fernandez-crawford,Hypertension,1,35107.03590803033
fernandez-garcia,Diabetes,1,43011.637019755886
fernandez-gonzalez,Asthma,1,17455.151251564886
fernandez-goodwin,Cancer,1,14132.903042500857
fernandez-graham,Arthritis,1,10765.771800223278
fernandez-hayes,Asthma,1,22046.49286808325
fernandez-henderson,Diabetes,2,24218.844486078164
fernandez-hunt,Diabetes,1,53.25697799131194
fernandez-jackson,Diabetes,1,1848.830054799568
fernandez-mahoney,Cancer,1,45697.77858162468
fernandez-miller,Obesity,1,28616.37898837515
fernandez-miranda,Asthma,1,25537.49479776629
fernandez-parrish,Diabetes,1,12781.956885363155
fernandez-schmidt,Hypertension,2,5032.069457483643
fernandez-thompson,Hypertension,1,34791.673161599305
fernandez-vasquez,Obesity,2,19336.59467759803
fernandez-wagner,Asthma,1,42230.96160530121
fernandez-weber,Obesity,1,12733.49086276516
"ferrell, campbell and wilkerson",Cancer,1,40028.45652473533
ferrell-carney,Asthma,1,9898.977898141353
ferrell-dixon,Arthritis,1,50126.25088936045
ferrell-ellis,Diabetes,1,45043.71662475843
ferrell-hill,Asthma,2,5137.411382229368
"fields and potter porter,",Diabetes,1,29015.489189788168
"fields and robinson lee,",Arthritis,1,45180.27293882291
fields and sons,Arthritis,1,7190.78466222414
"fields and west brown,",Asthma,1,28927.27166672303
fields group,Obesity,1,24812.485911598727
fields inc,Arthritis,1,1944.7603360419764
fields inc,Cancer,2,40829.49364915305
"fields kemp and bowman,",Cancer,2,14420.70843887872
fields llc,Arthritis,1,40318.82186523525
fields ltd,Asthma,1,30280.82555519601
fields plc,Diabetes,1,17458.561411780403
"fields, and moran martinez",Cancer,1,5401.292391985098
"fields, peters and ewing",Arthritis,1,32899.930451016975
"fields, phelps simmons and",Diabetes,1,23664.686933782486
"fields, walton and bender",Hypertension,1,35841.49851908042
"fields, white daniels and",Cancer,1,16856.665324291087
fields-brock,Hypertension,1,41760.227120386575
fields-clements,Diabetes,1,14190.41483907543
fields-cook,Diabetes,1,21556.93164938964
fields-keller,Obesity,1,13317.276842860942
fields-kelly,Asthma,1,16962.03511324084
fields-king,Diabetes,1,48800.14686885205
fields-koch,Asthma,1,47164.31479628705
fields-rose,Asthma,1,38940.46570988581
fields-vargas,Hypertension,1,42928.67371154494
fields-weber,Asthma,1,36525.10962497948
fields-yang,Diabetes,1,38994.38746432614
"figueroa and hebert, hunter",Asthma,1,46765.93335364816
"figueroa and livingston bowers,",Diabetes,1,5703.303705720821
figueroa and sons,Obesity,1,24188.34133574274
"figueroa and stanton hall,",Cancer,1,22834.532477093195
"figueroa duarte, and collier",Asthma,2,14401.516088640028
"figueroa gibson hess, and",Diabetes,1,39828.21731895347
"figueroa hawkins and zimmerman,",Hypertension,1,7121.052733757143
figueroa llc,Arthritis,1,26644.724281351577
figueroa ltd,Asthma,1,34492.30942236583
"figueroa moreno, ho and",Hypertension,1,21419.59771376049
"figueroa olson, and stone",Cancer,1,9643.638935258668
figueroa plc,Hypertension,1,18541.03628767177
"figueroa rogers, and porter",Cancer,1,17652.81478315593
"figueroa sandoval, and brooks",Cancer,1,9764.401087199758
"figueroa taylor, and velasquez",Cancer,1,5557.089173097717
"figueroa, blevins wilson and",Cancer,1,49215.58550431436
"figueroa, edwards williams and",Hypertension,1,4164.125368596209
figueroa-bush,Obesity,1,8375.874139460979
figueroa-floyd,Obesity,1,44765.98856306068
figueroa-harrison,Arthritis,2,30865.358461956395
figueroa-hayden,Cancer,1,14280.609996105202
figueroa-hernandez,Arthritis,1,13779.515563328849
figueroa-hughes,Arthritis,1,47102.12550789548
figueroa-johnson,Arthritis,1,6912.970133781002
figueroa-johnson,Asthma,1,10688.252792666295
figueroa-may,Arthritis,1,15913.6205197912
figueroa-orr,Diabetes,1,9058.249404854578
figueroa-ortega,Diabetes,1,29565.758471360703
figueroa-perez,Hypertension,1,48982.6861797993
figueroa-reyes,Hypertension,1,8308.148622225313
figueroa-rogers,Hypertension,1,3269.920421792196
figueroa-smith,Asthma,1,11460.794468907272
